clusterid,count,messcount,carappcount,moneyappcount,stockappcount,associationcount,shoppingwebsite,itwebsitewebsite,restaurantwebsite,housewebsite,healthwebsite,financalwebsite,travelwebsite,sportwebsite,carswebsite,newswebsite,socialwebsite,entertainmentwebsite,recruitwebsite,educationwebsite,otherwebsite,gamewebsite
0,386128,36.93420576,0.112219264,0.000732918,7.66694464,37.36471585,121.3941957,151.8110704,0.100997597,2.722071437,1.188038681,26.55958905,7.574931111,2.035115299,1.869017528,23.35182634,3.3399106,2.626913873,0.82480421,7.134880143,0,19.53787604
1,1,0,0,0,0,0,1140848,4749,0,1,0,26397,0,2,24,257,0,17,0,9,0,181
2,10,12.2,0,0,293.2,15,198232.4,5562.8,0,168.1,13.8,10200.3,135,3422.3,78.9,911.1,219.3,141.5,0,187.6,0,115.2
3,1113,42.37556155,0.983827493,0.013477089,124.427673,40.51572327,13991.36478,2218.284816,1.194070081,43.90026954,24.96675651,707.591195,88.39712489,74.74303684,53.55166217,379.7394429,43.68463612,40.16442049,32.86073675,166.4788859,0,306.9532794
4,62,44.5483871,0,0,119.4354839,33.69354839,67235.91935,3115.032258,1.016129032,59.4516129,15.5,2762.096774,277.9516129,3270.919355,118.7258065,314,37.22580645,50.03225806,9.274193548,358.5645161,0,255.8387097
5,22663,48.46313374,1.184971098,0.008427834,80.63341129,42.84446013,2225.963685,1707.801659,0.698318846,25.44305697,10.53686626,346.2413184,74.31072674,18.29881304,21.54820633,173.4844019,28.44671932,20.52045184,8.398314433,72.15920222,0,151.3431585
6,4,8,0,0,7780.25,8.75,11205.75,1333,0,5.25,0,165911.75,34.5,349.25,169.25,264,39,21.5,0,66.75,0,36.25
7,1,0,0,0,0,0,498651,4620,0,181,59,12832,659,547,89,3949,69,296,0,576,0,375
8,1,0,0,0,0,0,441,928,0,0,0,1,0,0,0,48,3,0,0,3,0,295411
9,138,20.11594203,0,0,64.6884058,34.00724638,1743.753623,26261.68841,0.195652174,30.86231884,4.963768116,360.6811594,55.8115942,7.123188406,20.62318841,130.5507246,29.87681159,23.38405797,8.231884058,88.83333333,0,270.7826087
